Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP per capita (current US$),NY.GDP.PCAP.CD,Zimbabwe,ZWE,276.6433633,279.3326561,275.9661394,277.5325155,282.3768564,294.8936049,279.3377791,295.0564493,302.8028709,346.5389203,362.1441468,406.2175033,483.9699742,579.2964182,674.53903,716.949515,686.7217301,676.3292022,664.432526,777.8830088,947.3671355,1067.25452,1094.29259,957.7752322,756.3344913,648.6680364,692.1399583,726.6207297,816.6994731,841.5632256,868.4901749,832.6879695,634.4473585,608.0466105,634.5826172,646.8295598,765.1651241,750.6839091,554.3614836,585.3317992,565.2843897,569.0032086,529.1868828,474.3022011,477.399491,470.7837614,441.4987969,425.0368417,351.8391005,762.2979603,937.84034,1082.615773,1290.193957,1408.36781,1407.034291,1410.329173,1421.787791,1192.107012,2269.177012,1421.868596,1372.696674,1773.920411,1676.821489,1592.416574
GDP per capita (current US$),NY.GDP.PCAP.CD,Africa Eastern and Southern,AFE,162.3425175,166.263682,171.9619156,182.0184795,192.6399893,202.847824,214.6669137,226.9788587,237.9114308,256.3563813,253.3823695,268.3500786,282.7369577,354.4988316,421.9771847,435.9779016,430.2612437,468.3010069,509.4798817,578.56322,728.0890324,747.0454573,689.9426708,711.6782407,638.7480973,534.6365716,560.7698116,653.1414145,690.218354,712.2410392,810.6467001,858.7276186,732.3604178,715.8921172,707.1772016,773.5753686,750.7713557,774.5496348,704.2773157,678.004156,715.1425073,633.4733816,633.5202007,819.986705,994.1938544,1130.168938,1235.847125,1379.746756,1439.240924,1404.535948,1622.684093,1757.998404,1724.204053,1696.35604,1678.55361,1498.805084,1346.301281,1485.753579,1558.612079,1508.486886,1356.088871,1545.956697,1642.432039,1672.505957
GDP per capita (current US$),NY.GDP.PCAP.CD,Africa Western and Central,AFW,122.1939312,127.732834,134.1300705,139.2912219,148.8213547,156.3141364,162.8906671,145.5680846,146.8464754,162.7213055,219.8653684,197.1038803,231.5717562,282.6424212,370.9350491,416.4407476,484.1221478,494.6891206,527.9864743,630.0172696,763.5077777,1336.290032,1172.997045,881.4228847,745.3269475,762.1112948,588.1803688,588.6705933,567.5731626,516.0794284,598.3936547,612.4345186,571.6457175,579.7098326,586.8137206,878.3841332,1084.230494,1108.675984,1159.186837,531.5164891,527.2025617,539.2257488,627.0959153,706.4765613,850.0835822,1008.341766,1246.349454,1421.444644,1685.806936,1467.789174,1680.141063,1861.537303,1958.077403,2154.315084,2248.518426,1882.518808,1648.920269,1590.555785,1735.445833,1813.609146,1688.470871,1769.171853,1788.875347,1584.333285
GDP per capita (current US$),NY.GDP.PCAP.CD,Arab World,ARB,..,..,..,..,..,251.5131178,259.1725493,272.0180629,302.2062056,323.906341,351.870854,396.3473072,462.7306845,593.2670745,1107.952776,1186.357009,1430.44869,1594.443458,1693.407319,2210.547421,2900.537079,2859.01642,2593.214401,2373.313956,2314.940611,2209.156884,2008.268083,2074.55996,2011.729381,2088.39028,2833.221893,2020.361587,1969.847611,1963.789681,1995.558333,2058.459561,2171.319842,2283.700376,2174.904009,2362.996207,2649.772451,2527.916941,2478.934152,2697.48563,3140.309636,3760.920112,4362.93231,4943.510553,6084.785373,5123.706801,5911.330395,6874.843187,7344.630764,7344.231051,7300.599771,6258.607227,6022.882818,6068.603008,6624.834659,6565.98084,5735.509867,6503.793376,7776.62938,7377.398936
GDP per capita (current US$),NY.GDP.PCAP.CD,Caribbean small states,CSS,373.0427789,397.5993776,416.997436,425.1072554,451.6512479,490.3961161,541.1830521,597.8636468,614.4525304,680.1934787,709.9327389,755.0313523,786.1928642,879.0192651,997.7236659,1085.895826,1105.565217,1254.264584,1431.368935,1681.688515,2008.641635,2143.882913,2202.172068,2304.811476,2505.732368,2699.419196,2920.796377,3139.72457,3421.951808,3413.583051,3544.50013,3580.770304,3618.421146,3726.588766,3973.557388,4156.477046,4418.835601,5604.358762,6033.062348,6348.269916,6622.113618,6623.918769,6953.249133,7097.219263,7415.222214,8056.622883,9333.121278,10028.94431,10425.1443,10106.21213,10389.18972,10543.01355,11057.11465,11085.05166,11359.1649,11629.12077,11175.57372,11576.27697,11845.70337,12173.61081,10101.79046,11732.89755,15296.21298,16810.93502
GDP per capita (current US$),NY.GDP.PCAP.CD,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2452.857602,2260.98846,2328.952399,2452.035151,2799.638268,3580.948316,3796.496075,3748.508595,4109.312868,3989.197637,3952.108476,4352.721427,4937.13171,5949.814253,7176.508384,8355.86921,9469.733567,12009.6865,14578.01413,12307.7075,12608.02304,13964.44289,13075.94919,13667.98138,14143.73975,12528.08264,12785.38592,14225.87732,16081.91106,16355.85815,16302.75462,18816.13369,19414.74166,22494.48066
GDP per capita (current US$),NY.GDP.PCAP.CD,Early-demographic dividend,EAR,134.3973994,139.4344479,139.9953127,153.1731793,166.1749896,174.7957826,167.4232834,178.4110684,190.6959124,206.3754748,215.3002986,226.7482527,245.9907373,301.345815,414.4727011,450.7086333,486.9840642,534.3976512,582.4249244,693.3652056,848.0166824,918.921176,847.3247765,824.3445093,813.6813133,792.9286646,777.7983353,770.8865335,795.8869498,792.3049354,901.7413101,935.0866081,1005.305164,1093.147261,1125.519724,1125.191772,1195.986388,1252.050015,1213.637866,1259.938622,1351.509022,1316.318037,1256.172365,1374.56625,1570.59276,1796.641911,2020.906551,2354.412889,2610.627028,2472.221413,2955.656666,3280.667623,3380.9602,3380.564605,3449.005593,3234.225944,3284.231623,3504.864455,3499.784255,3528.996451,3254.227943,3743.858874,4099.075913,4258.917637
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific,EAS,150.6211289,151.5577358,153.01554,166.718298,187.0396783,203.4068477,221.8819556,235.4172105,253.7833374,285.2606153,320.2438084,346.6660228,420.9951237,542.7239143,612.4295563,658.0467858,711.7669615,835.1529994,1039.067149,1110.570954,1182.269642,1283.671167,1237.219768,1296.529711,1366.681953,1420.402832,1829.306163,2113.301191,2500.12889,2562.995463,2634.92725,2934.411723,3165.222778,3495.702822,3861.371536,4331.821742,4124.910503,3897.691659,3450.884317,3816.377124,4090.212513,3769.368512,3796.964235,4142.707405,4610.319765,4882.173071,5136.278264,5697.904784,6523.261014,6664.924826,7726.915303,8893.532541,9436.847453,9468.679746,9695.983116,9586.056625,9856.665624,10454.5358,11312.90854,11484.34101,11487.83281,13141.52866,12909.91874,12927.68381
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific (excluding high income),EAP,90.09728052,79.41361551,71.4848666,75.38787047,84.99607275,96.6576417,102.9227912,97.39799994,95.94045777,105.0181894,113.8319801,119.0107021,132.2094207,162.4826744,180.2355799,198.4616108,198.3414536,224.9686232,214.8813836,244.8696532,278.1995909,292.4024528,301.923763,310.8843667,331.5824068,357.3197465,350.4833215,340.4606913,371.4357772,394.9029432,416.373982,444.9976562,491.9888418,532.6884579,632.5947974,770.2752343,873.6862698,892.7955507,805.2750137,877.1112432,955.5066589,1007.108461,1104.789067,1239.865308,1425.924897,1638.41552,1957.823024,2456.421547,3084.941061,3320.297301,4012.120878,4863.649223,5376.60387,5881.943497,6292.346456,6499.96372,6592.517913,7151.274707,7944.759743,8171.965524,8262.927254,9813.484817,9916.804344,9912.696851
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific (IDA & IBRD countries),TEA,91.1892357,80.40032459,72.38162232,76.33214475,86.0612133,97.86924236,104.2106345,98.61941776,97.14648751,106.3384664,115.2622192,120.5039612,133.8682028,164.5170454,182.4907182,200.9395504,200.8145093,227.7625096,217.5480681,247.8980781,281.6316968,296.0071329,305.6360023,314.6933937,335.63697,361.6767151,354.7518145,344.6012741,375.9420499,399.6886632,421.414687,450.379061,497.9311109,539.1158179,640.2292069,779.5574638,884.1819327,903.4869887,814.8931451,887.5391373,966.8222525,1018.990255,1117.762302,1254.36979,1442.578507,1657.510417,1980.560257,2484.835559,3120.48854,3358.427396,4058.019312,4919.0478,5437.559601,5948.329935,6363.123695,6572.889553,6666.302385,7231.058583,8033.206648,8262.817634,8354.736738,9922.570744,10027.17653,10023.202
